Name - gender, age, race/ethnicity, religion, political affiliation
35. Man, Latino, 50, Catholic, Democrat
36. Man, White, 38, Protestant, Republican
37. Woman, Latino, 26, Catholic, Republican
38. Woman, Asian, 54, Hindu, Independent
39. Woman, White, 60, Unreligious, Democrat
40. Woman, White, 67, Catholic, Republican
41. Man, White, 63, Unreligious, Democrat
42. Man, Latino, 29, Catholic, Republican
43. Man, White, 18, Protestant, Republican
44. Woman, Latino, 50, Catholic, Democrat
45. Woman, White, 48, Protestant, Republican
46. Man, Black, 46, Unreligious, Democrat
47. Man, Black, 58, Unreligious, Democrat
48. Woman, Latino, 24, Catholic, Democrat
49. Woman, Latino, 64, Unreligious, Democrat
50. Man, Black, 73, Protestant, Democrat
1. Woman, White, 46, Protestant, Democrat
2. Man, Latino, 29, Catholic, Independent
3. Man, Latino, 66, Catholic, Republican
4. Man, Latino, 38, Catholic, Democrat
5. Woman, White, 65, Protestant, Republican
6. Woman, White, 42, Protestant, Republican
7. Woman, Latino, 36, Unreligious, Democrat
8. Woman, Asian, 41, Hindu, Independent
9. Woman, White, 39, Unreligious, Republican
10. Woman, Black, 26, Protestant, Democrat
11. Man, Black, 26, Protestant, Democrat
12. Woman, White, 56, Protestant, Democrat
13. Woman, Latino, 63, Catholic, Democrat
14. Woman, White, 30, Unreligious, Republican
15. Man, Black, 23, Unreligious, Democrat
16. Woman, White, 35, Protestant, Republican
17. Man, Native American/Alaska Native, 29, Unreligious, Independent
18. Woman, White, 75, Protestant, Republican
19. Woman, White, 64, Protestant, Democrat
20. Woman, White, 70, Unreligious, Democrat
21. Woman, White, 34, Unreligious, Republican
22. Man, White, 47, Protestant, Democrat
23. Woman, White, 55, Protestant, Democrat
24. Woman, White, 68, Protestant, Independent
25. Woman, White, 77, Protestant, Republican
26. Woman, White, 35, Protestant, Independent
27. Woman, White, 60, Unreligious, Republican
28. Man, White, 27, Protestant, Republican
29. Woman, Latino, 22, Catholic, Democrat
30. Man, White, 40, Protestant, Independent
31. Woman, Asian, 67, Unreligious, Independent
32. Man, Latino, 43, Catholic, Republican
33. Woman, Black, 60, Protestant, Democrat
34. Woman, Black, 76, Unreligious, Democrat
35. Man, Latino, 50, Catholic, Democrat
36. Man, White, 38, Protestant, Republican
37. Woman, Latino, 26, Catholic, Republican
38. Woman, Asian, 54, Hindu, Independent
39. Woman, White, 60, Unreligious, Democrat
40. Woman, White, 67, Catholic, Republican
41. Man, White, 63, Unreligious, Democrat
42. Man, Latino, 29, Catholic, Republican
43. Man, White, 18, Protestant, Republican
44. Woman, Latino, 50, Catholic, Democrat
45. Woman, White, 48, Protestant, Republican
46. Man, Black, 46, Unreligious, Democrat
47. Man, Black, 58, Unreligious, Democrat
48. Woman, Latino, 24, Catholic, Democrat
49. Woman, Latino, 64, Unreligious, Democrat
50. Man, Black, 73, Protestant, Democrat
