Name - gender, age, race/ethnicity, religion, political affiliation
42. Emily Nguyen, Female, 27, Asian, unreligious, Liberal
43. Elijah Thompson, Male, 19, White, Protestant, Independent
44. Sofia Rivera, Female, 32, Latino, Catholic, Liberal
45. James Lee, Male, 45, Asian, Protestant, Conservative
46. Ava Martin, Female, 24, White, unreligious, Independent
47. Mason Mitchell, Male, 37, Black, Protestant, Conservative
48. Emma Lopez, Female, 30, Latino, Catholic, Liberal
49. Ethan Kim, Male, 20, Asian, unreligious, Liberal
50. Mia Baker, Female, 42, White, Protestant, Conservative
51. Noah Roberts, Male, 33, Black, Protestant, Moderate
52. Sofia Torres, Female, 29, Latino, Catholic, Liberal
53. Daniel Johnson, Male, 18, White, unreligious, Independent
54. Olivia Thompson, Female, 26, Asian, Buddhist, Liberal
55. Jacob Davis, Male, 41, Black, Protestant, Conservative
56. Isabella Gonzalez, Female, 31, Latino, Catholic, Liberal
57. Ethan Wu, Male, 21, Asian, unreligious, Moderate
58. Ava Wright, Female, 23, White, Protestant, Liberal
59. Michael Scott, Male, 47, Black, Protestant, Conservative
60. Sofia Lopez, Female, 32, Latino, Catholic, Liberal
61. Noah Kim, Male, 22, Asian, unreligious, Liberal
62. Emily Hernandez, Female, 24, White, unreligious, Independent
63. Alexander Turner, Male, 39, Black, Protestant, Conservative
64. Mia Smith, Female, 35, Latino, Catholic, Liberal
65. William Martinez, Male, 24, Latino, Catholic, Moderate
66. Emma Johnson, Female, 22, White, Protestant, Independent
67. Elijah Wilson, Male, 43, Black, Protestant, Conservative
68. Sofia Rodriguez, Female, 31, Latino, Catholic, Liberal
69. David Chen, Male, 23, Asian, Buddhist, Moderate
70. Olivia Wilson, Female, 29, White, Protestant, Liberal
71. Benjamin Scott, Male, 36, Black, Protestant, Conservative
72. Ava Turner, Female, 27, Latino, Catholic, Liberal
73. Samuel Lee, Male, 45, Asian, Protestant, Conservative
74. Isabella Martin, Female, 24, White, unreligious, Independent
75. Ethan Johnson, Male, 37, Black, Protestant, Conservative
76. Emma Gonzalez, Female, 30, Latino, Catholic, Liberal
77. Daniel Wu, Male, 20, Asian, unreligious, Liberal
78. Mia Baker, Female, 28, White, Protestant, Independent
79. Alexander Roberts, Male, 33, Black, Protestant, Conservative
80. Sophia Smith, Female, 35, Latino, Catholic, Liberal
81. Samuel Martinez, Male, 25, Latino, Catholic, Moderate
82. Emily Davis, Female, 24, White, unreligious, Independent
83. Benjamin Turner, Male, 38, Black, Protestant, Conservative
84. Olivia Torres, Female, 31, Latino, Catholic, Liberal
85. James Lee, Male, 46, Asian, Protestant, Conservative
86. Mia Wright, Female, 23, White, Protestant, Independent
87. Alexander Scott, Male, 35, Black, Protestant, Conservative
88. Ava Ramirez, Female, 30, Latino, Catholic, Liberal
89. Noah Kim, Male, 21, Asian, unreligious, Liberal
90. Sofia Baker, Female, 27, White, Protestant, Liberal
91. Ethan Wilson, Male, 38, Black, Protestant, Conservative
92. Mia Gonzalez, Female, 31, Latino, Catholic, Liberal
93. Daniel Wu, Male, 20, Asian, unreligious, Liberal
94. Olivia Smith, Female, 29, White, Protestant, Independent
95. Alexander Davis, Male, 36, Black, Protestant, Conservative
96. Emma Hernandez, Female, 30, Latino, Catholic, Liberal
97. Benjamin Thompson, Male, 45, Asian, Protestant, Conservative
98. Sofia Johnson, Female, 24, White, unreligious, Independent
99. Elijah Turner, Male, 35, Black, Protestant, Conservative
100. Mia Torres, Female, 31, Latino, Catholic, Liberal
